Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL3427402,,Cc1cc(OC(F)(F)F)ccc1-c1c(Oc2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2oc1=O,IC50,'=',3.9,nM
CHEMBL1088344,,COc1ccc2c(c1)OCCC1=C2[C@H](c2ccc(OCCN3CCCCC3)cc2)Oc2cc(O)ccc21,IC50,'=',4.2,nM
CHEMBL1087297,,Oc1ccc2c(c1)OCCC1=C2[C@H](c2ccc(OCCN3CCCCCC3)cc2)Oc2ccccc21,IC50,'=',4.5,nM
CHEMBL1085669,,CC(C)N(CCOc1ccc([C@H]2Oc3cc(O)ccc3C3=C2c2ccc(O)cc2OCC3)cc1)C(C)C,IC50,'=',5.4,nM
CHEMBL1087919,,CN(C)CCOc1ccc([C@@H]2Oc3cc(O)ccc3C3=C2c2ccccc2OCC3)cc1,IC50,'=',11.1,nM
CHEMBL1082529,,CN(C)CCOc1ccc([C@H]2Oc3cc(O)ccc3C3=C2c2ccccc2OCC3)cc1,IC50,'=',180.0,nM
CHEMBL381299,,CCCCCC12CCC(=O)C=C1c1ccc(O)cc1C2,IC50,'=',3740.0,nM
CHEMBL1087289,,Oc1ccc2c(c1)O[C@H](c1ccc(OCCN3CCCCC3)cc1)C1=C2CCOc2ccccc21,IC50,'=',259.0,nM
CHEMBL457035,,CC#C[C@@]1(O)CC[C@@]2(CC)c3ccc(OCc4ccncc4)cc3CC[C@@H]2C1,IC50,'=',670.0,nM
CHEMBL1475434,,O=C(CCCCCn1c(=S)[nH]c2ccccc2c1=O)N1CCN(c2cccc(Cl)c2)CC1,IC50,'=',350.0,nM
CHEMBL246138,,C=C[C@]12CC[C@H](O)CC1=CC[C@H]1[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]12,IC50,'=',2240.0,nM
CHEMBL391619,,CCCN1CC(c2ccc(O)cc2)Cc2ccc(O)cc21,IC50,'=',2470.0,nM
CHEMBL239723,,CN1CC(c2ccc(O)cc2)Cc2ccc(O)cc21,IC50,'=',2950.0,nM
CHEMBL3589349,,O=C(O)CCCCCCC(=O)Nc1ccc(OS(=O)(=O)C2CC3OC2C(c2ccc(O)cc2)=C3c2ccc(O)cc2)cc1,IC50,'=',50.0,nM
CHEMBL183584,,C[C@@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1,IC50,'=',3.0,nM
CHEMBL183263,,CC(C)[C@@H](COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1,IC50,'=',0.7,nM
CHEMBL241301,,CC(CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)[nH]c2ccccc12,IC50,'=',1.0,nM
CHEMBL241257,,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)[nH]c2c(OCCCCCN3CCCCC3)cccc12,IC50,'=',13.0,nM
CHEMBL241485,,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)[nH]c2cc(OCCN3CCCC3)ccc12,IC50,'=',22.0,nM
CHEMBL4544038,,CC1=C(c2ccccc2)[C@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2ccc(N3CCOCC3)cc21,IC50,'=',100.0,nM
CHEMBL372029,,CN1CCC(c2ccc(C3c4ccc(O)cc4CCN3c3cccc(O)c3)cc2)CC1,IC50,'=',31.0,nM
CHEMBL381298,,CC1=C2c3ccc(O)cc3CC2(CC(C)C)CCC1=O,IC50,'=',195.0,nM
CHEMBL691,ETHINYL ESTRADIOL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,IC50,'=',2.0,nM
CHEMBL204768,,Cc1cc(O)c(Cl)c2c(=O)oc3c(Cl)c(O)ccc3c12,IC50,'=',2521.0,nM
CHEMBL200719,,c1ccc(-c2[nH]c3ccccc3c2-c2ccccc2)cc1,IC50,'=',6950.0,nM
CHEMBL200799,,Oc1ccc(-c2[nH]c(C(F)(F)F)nc2-c2ccccc2)cc1,IC50,'=',403.0,nM
CHEMBL362718,,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCSCC3)cc2)cc1,IC50,'=',1.5,nM
CHEMBL219467,,CN(C)CCOc1ccc(-c2c(-c3ccc(O)cc3)nn3c(C(F)(F)F)cc(C(F)(F)F)nc23)cc1,IC50,'=',1000.0,nM
CHEMBL218220,,Oc1ccc(-c2nn3c(C(F)(F)F)cc(C(F)(F)F)nc3c2-c2ccc(OCCN3CCCCC3)cc2)cc1,IC50,'=',90.0,nM
CHEMBL219387,,CCCCCCCCCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O,IC50,'=',436.0,nM
CHEMBL219126,,O=C1C[C@@H](c2ccc(O)cc2)Oc2c(Cc3ccccc3)c(O)cc(O)c21,IC50,'=',503.0,nM
CHEMBL363412,,Oc1ccc2c(c1)sc1c3ccccc3n(Cc3ccc(OCCN4CCCCC4)cc3)c21,IC50,'=',39.0,nM
CHEMBL4542816,,COc1ccc(-c2cc3ccc(OC)cc3nc2Nc2ccc(NC(=O)CN3CCN(C)CC3)cc2)cc1,IC50,'=',2330.0,nM
CHEMBL396948,,O=C1c2ccc(O)cc2C(=O)N1c1ccc(O)c2ccccc12,IC50,'=',2640.0,nM
CHEMBL491885,(+/-)-FUROWANIN B,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)CC(C(C)(C)O)O2,IC50,'=',13000.0,nM
