Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL3654676,,C[C@@H](NC(=O)Nc1cc2[nH]nc(C3CC3)c2cn1)c1ccccc1,IC50,'=',2.0,nM
CHEMBL4113074,,CCNc1n[nH]c2cc(NC(=O)N[C@@H](c3ccccc3)[C@H]3CCCO3)ncc12,IC50,'=',0.6,nM
CHEMBL4110787,,Nc1n[nH]c2cc(NC(=O)N[C@H](c3ccccc3)[C@H]3CCCO3)ncc12,IC50,'=',435.0,nM
CHEMBL3900842,,Nc1n[nH]c2cc(NC(=O)N[C@H](c3ccccc3)[C@@H]3CCCO3)ncc12,IC50,'=',495.0,nM
CHEMBL4109423,,COC1CC(CNc2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccc4)ncc23)C1,IC50,'=',2.7,nM
CHEMBL4114515,,COCCOC(=O)Nc1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12,IC50,'=',6.6,nM
CHEMBL3902794,,CCNc1n[nH]c2cc(NC(=O)NCc3cccc(F)c3)ncc12,IC50,'=',11.8,nM
CHEMBL3891569,,Nc1n[nH]c2cc(NC(=O)NC3COc4ccccc4C3)ncc12,IC50,'=',37.1,nM
CHEMBL3947798,,COC[C@H](NC(=O)Nc1ncc2c(NC(C)C)n[nH]c2c1F)c1ccccc1,IC50,'=',4.1,nM
CHEMBL4114455,,CC[C@@H](NC(=O)Nc1cc2[nH]nc(N3CCCC3)c2cn1)c1ccccn1,IC50,'=',1021.0,nM
CHEMBL4108144,,CC(=O)N(C)c1n[nH]c2cc(NC(=O)N[C@H](C)c3ccccc3)ncc12,IC50,'=',484.0,nM
CHEMBL4107769,,CCOc1n[nH]c2cc(NC(=O)N[C@@H](c3ccccc3)C3(O)CCC3)nc(CO)c12,IC50,'=',0.7,nM
CHEMBL4110917,,Cc1cc(C(=O)N[C@H](CO)c2ccccc2)ccc1-c1cc(C2CCOCC2)cnc1N,IC50,'=',574.0,nM
CHEMBL4106597,,CS(=O)(=O)[C@H]1CC[C@@H](c2cnc(N)c(-c3ccc(C(=O)NCc4ccccc4)c(F)c3)n2)CC1,IC50,'=',206.0,nM
CHEMBL3926768,,CNC(=O)CCc1cnc(N)c(-c2ccc(C(=O)NCc3ccccc3)c(F)c2)n1,IC50,'=',1090.0,nM
CHEMBL3939882,,Nc1ncc(-c2ccc(=O)[nH]c2)nc1-c1ccc(C(=O)N[C@H](CO)c2ccccc2)cc1,IC50,'=',2.02,nM
CHEMBL4115410,,Cn1cc(-c2cnc(N)c(-c3ccc(C(=O)N[C@H]4C[C@@H]4c4ccccc4)c(F)c3)c2)cn1,IC50,'=',0.813,nM
CHEMBL3986020,,Cn1cc(-c2cnc(N)c(-c3ccc(C(=O)NC4CC4c4ccccc4)c(F)c3)n2)cn1,IC50,'=',1.89,nM
CHEMBL86754,IODOQUINOL,Oc1c(I)cc(I)c2cccnc12,IC50,'=',294.0,nM
CHEMBL3924521,,CC(=O)N1CCCC(c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4ccccc4)c(F)c3)n2)C1,IC50,'=',28.5,nM
CHEMBL4115487,,CCn1cc(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cc(F)cc(S(C)(=O)=O)c4)c(F)c3)c2)cn1,IC50,'=',0.617,nM
