Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL217977,,COc1ccc(Cl)c(Nc2ncnc3ccc(OC)c(OC4CCN(C)CC4)c23)c1,IC50,'=',3000.0,nM
CHEMBL369899,,COc1cnc(Cl)c(Nc2ncnc3cc(OCCCN4CCOCC4)cc(OC4CCOCC4)c23)c1,IC50,'=',7.0,nM
CHEMBL200231,,COc1ccc(Cl)c(Nc2ncnc3cc(OCCCN4CCOCC4)cc(OC(C)C)c23)n1,IC50,'=',30.0,nM
CHEMBL1242109,,CCC(C)n1nc(-c2ccc(C)c(O)c2)c2c(N)ncnc21,IC50,'=',16.0,nM
CHEMBL475413,,COc1cccc(-c2cn(-c3ccc(OCCn4ccnc4)cc3)c3ncnc(N)c23)c1,IC50,'=',125.89,nM
CHEMBL1241680,,CC(C)n1nc(-c2ccc(F)c(C#N)c2)c2c(N)ncnc21,IC50,'=',1500.0,nM
CHEMBL56504,,CN(C)CCCc1c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Nc4ccccc4Cl)cc32)[nH]c2c1CCCC2,IC50,'=',300.0,nM
CHEMBL59786,,COc1cc(Nc2c(C#N)cnc3cc(-c4csc(CN5CCOCC5)c4)ccc23)c(Cl)cc1Cl,IC50,'=',200.0,nM
CHEMBL3651232,,CC(=O)Nc1cc(-c2c(C)cccc2C)cc2nnc(Nc3ccc(C(=O)NCCN4CCCC4)o3)nc12,IC50,'=',137.0,nM
CHEMBL1241681,,Nc1ncnc2c1c(-c1ccc3ncccc3c1)nn2C1CCCC1,IC50,'=',810.0,nM
CHEMBL221975,,Cc1cccc(C)c1-c1cc2nnc(Nc3ccccc3)nc2c(C)c1C,IC50,'=',130.0,nM
CHEMBL301676,,CC(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCCN(C)C)CCCC3)C(=O)N2,IC50,'=',230.0,nM
CHEMBL301663,,CN(C)CCCc1c(/C=C2\C(=O)Nc3ccc(F)cc32)[nH]c2c1CCCC2,IC50,'=',500.0,nM
CHEMBL298566,,CCS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCCN1CCC(O)CC1)CCCC3)C(=O)N2,IC50,'=',800.0,nM
CHEMBL46851,,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)Cc1ccc(OP(=O)(O)O)cc1)C(=O)O,IC50,'=',5000.0,nM
CHEMBL323453,,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)cc21,IC50,'=',790.0,nM
CHEMBL310193,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)c1nc(CC2CCCCC2)no1,IC50,'=',62000.0,nM
CHEMBL77338,,CCCCCCCc1noc([C@H](CC)NC(=O)[C@H](Cc2ccc(OP(=O)(O)O)cc2)NC(C)=O)n1,IC50,'=',22000.0,nM
CHEMBL239160,,COc1cc2c(Nc3cc(OC)c(OC)c(OC)c3)c(C#N)cnc2cc1C#CCCN1CCN(C)CC1,IC50,'=',21.0,nM
CHEMBL316967,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CO)c1nc(Cc2ccc(Cl)c(Cl)c2)no1,IC50,'=',75000.0,nM
CHEMBL81073,,COc1cc2ncc(C#N)c(Nc3cc(OC)c(OC)c(OC)c3)c2cc1OC,IC50,'=',190.0,nM
CHEMBL240158,,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCF)CC2)n1,IC50,'=',3.5,nM
CHEMBL334891,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](C)c1nc(Cc2ccc(Cl)cc2)no1,IC50,'=',66000.0,nM
CHEMBL571546,TIRBANIBULIN,O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1,IC50,'=',40000.0,nM
