Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL371705,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N1CCCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(N)=O)[C@@H](C)O,IC50,'=',1240.0,nM
CHEMBL346370,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](C)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@H](C(N)=O)C(C)C)[C@@H](C)O,IC50,'=',1600.0,nM
CHEMBL3600744,,COc1ccc(S(=O)(=O)Nc2ccccc2-c2ccc(F)cc2)cc1,IC50,'=',4020.0,nM
CHEMBL187460,CRYPTOTANSHINONE,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,IC50,'=',4600.0,nM
CHEMBL3628243,,C/C=C(\C)C(=O)OCC1=C2/C(=C\[C@@]3(C)CC[C@](O)(O3)[C@H](C)C[C@@H]2OC(=O)/C(C)=C/C)OC1=O,IC50,'=',500.0,nM
CHEMBL578430,,CC(C)C[C@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1CCC(N)=O,IC50,'=',3310.0,nM
CHEMBL574636,,CC(C)C[C@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)C(=O)N1CCC[C@H]1C(=O)NCCNC(N)=O,IC50,'=',131.0,nM
CHEMBL436504,,CNC(=O)CC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@H](C(N)=O)[C@@H](C)O,IC50,'=',18100.0,nM
CHEMBL372993,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N1CCCC1,IC50,'=',2110.0,nM
CHEMBL348612,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](CS)C(=O)N[C@H](CN[C@@H](CO)C(N)=O)CC(=O)O,IC50,'=',80000.0,nM
CHEMBL157727,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCC(N)=O)C(=O)N[C@@H](C(=O)N[C@H](C)C(=O)O)[C@@H](C)O,IC50,'=',400.0,nM
CHEMBL573442,,CC(=O)NC[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1,IC50,'=',589.0,nM
CHEMBL4080826,,CCc1ccc(Nc2nc3cc(NC(=O)c4ccccc4)ccc3o2)cc1,IC50,'=',5800.0,nM
CHEMBL160730,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(N)=O,IC50,'=',6000.0,nM
CHEMBL438852,,CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)c1ccc(C#N)cc1)C(=O)Nc1ccccc1,IC50,'=',310000.0,nM
CHEMBL1720750,,Cc1sc2ncnc(N3CCC(C(=O)c4ccccc4)CC3)c2c1C,IC50,'=',5212.0,nM
CHEMBL198548,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(N)=O)[C@@H](C)O)C(C)C,IC50,'=',1540.0,nM
CHEMBL442785,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(N)=O)[C@@H](C)O,IC50,'=',1890.0,nM
CHEMBL611361,,CC(=O)c1cc2c(o1)C(=O)c1cccc(O)c1C2=O,IC50,'=',2000.0,nM
CHEMBL1319229,,CCc1c(C)c2ccc(OCC(=O)OC(C)C)c(C)c2oc1=O,IC50,'=',6190.0,nM
CHEMBL3196880,,COc1ccc(/C=N/NC(=S)Nc2cccc(C(=O)O)c2)cc1,IC50,'=',4556.0,nM
CHEMBL1419744,,COc1ccc(CC(=O)Nc2cccc(SC)c2)cc1OC,IC50,'=',6367.0,nM
CHEMBL1320353,,Cc1ccc(-n2nnnc2SCn2nnc3ccccc3c2=O)c(C)c1,IC50,'=',5322.0,nM
