Names	total	elements
		CHEMBL104244
		CHEMBL94846
		CHEMBL1081312
		CHEMBL475351
		CHEMBL64430
		CHEMBL1241861
		CHEMBL2333163
		CHEMBL4457566
		CHEMBL355891
		CHEMBL285063
		CHEMBL1242482
		CHEMBL50470
		CHEMBL75188
		CHEMBL1241944
		CHEMBL529663
		CHEMBL1241271
		CHEMBL1242848
		CHEMBL1241491
		CHEMBL96081
		CHEMBL1241486
		CHEMBL544074
		CHEMBL96096
		CHEMBL1242201
		CHEMBL217092
		CHEMBL3297956
		CHEMBL306081
		CHEMBL552634
		CHEMBL1242207
		CHEMBL1242295
		CHEMBL1240553
		CHEMBL3040910
		CHEMBL345211
		CHEMBL121796
		CHEMBL88483
		CHEMBL4443828
		CHEMBL1242568
		CHEMBL1241943
		CHEMBL58580
		CHEMBL2070048
		CHEMBL58142
		CHEMBL1873475
		CHEMBL1242756
		CHEMBL170724
		CHEMBL5182567
		CHEMBL501256
		CHEMBL538507
		CHEMBL331906
		CHEMBL4871361
		CHEMBL61278
		CHEMBL505637
		CHEMBL107472
		CHEMBL1242477
		CHEMBL76599
		CHEMBL4436118
		CHEMBL2070047
		CHEMBL120069
		CHEMBL158797
		CHEMBL266995
		CHEMBL1242385
		CHEMBL120703
		CHEMBL2152253
		CHEMBL3604921
		CHEMBL342929
		CHEMBL1257795
		CHEMBL59099
		CHEMBL4462318
		CHEMBL1234815
		CHEMBL1173655
		CHEMBL338049
		CHEMBL410659
		CHEMBL1241768
		CHEMBL1242377
		CHEMBL301612
		CHEMBL2152252
		CHEMBL24828
		CHEMBL347854
		CHEMBL104779
		CHEMBL1241683
		CHEMBL4440096
		CHEMBL420609
		CHEMBL158805
		CHEMBL338448
		CHEMBL527026
		CHEMBL5186340
		CHEMBL91250
		CHEMBL88606
		CHEMBL1242661
		CHEMBL249928
		CHEMBL1242290
		CHEMBL3628797
		CHEMBL124660
		CHEMBL291667
		CHEMBL2204532
		CHEMBL105436
		CHEMBL1241481
		CHEMBL2419760
		CHEMBL64781
		CHEMBL514929
		CHEMBL88771
		CHEMBL418010
		CHEMBL574588
		CHEMBL433520
		CHEMBL20867
		CHEMBL1784637
		CHEMBL473556
		CHEMBL475352
		CHEMBL395573
		CHEMBL258015
		CHEMBL347161
		CHEMBL200381
		CHEMBL355269
		CHEMBL333231
		CHEMBL345837
		CHEMBL102301
		CHEMBL2333991
		CHEMBL154911
		CHEMBL168382
		CHEMBL433305
		CHEMBL1241241
		CHEMBL169390
		CHEMBL2110732
		CHEMBL542893
		CHEMBL158596
		CHEMBL3134157
		CHEMBL7339
		CHEMBL111664
		CHEMBL189338
		CHEMBL1242033
		CHEMBL1242381
		CHEMBL291979
		CHEMBL1242977
		CHEMBL7914
		CHEMBL1916891
		CHEMBL1242288
		CHEMBL1241490
		CHEMBL231568
		CHEMBL422540
		CHEMBL57553
		CHEMBL367442
		CHEMBL1258821
		CHEMBL443906
		CHEMBL4218175
		CHEMBL30432
		CHEMBL1242573
		CHEMBL1221699
		CHEMBL155389
		CHEMBL64231
		CHEMBL276711
		CHEMBL278103
		CHEMBL1242752
		CHEMBL92395
		CHEMBL158879
		CHEMBL1242751
		CHEMBL1241439
		CHEMBL2011291
		CHEMBL1242665
		CHEMBL490555
		CHEMBL1823221
		CHEMBL313746
		CHEMBL1241946
		CHEMBL261238
		CHEMBL1241949
		CHEMBL161226
		CHEMBL1242110
		CHEMBL176470
		CHEMBL1242113
		CHEMBL119977
		CHEMBL247468
		CHEMBL75232
		CHEMBL2152704
		CHEMBL121260
		CHEMBL523059
		CHEMBL2018882
		CHEMBL62701
		CHEMBL1257912
		CHEMBL1242567
		CHEMBL1242199
		CHEMBL62176
		CHEMBL258805
		CHEMBL176705
		CHEMBL1242748
		CHEMBL1241485
		CHEMBL435831
		CHEMBL245212
		CHEMBL354033
		CHEMBL1762114
		CHEMBL1242202
		CHEMBL4456283
		CHEMBL62699
		CHEMBL55683
		CHEMBL3357439
		CHEMBL4171115
		CHEMBL1241769
		CHEMBL4469663
		CHEMBL131577
		CHEMBL1241772
		CHEMBL3297955
		CHEMBL2064374
		CHEMBL58436
		CHEMBL1242209
		CHEMBL115103
		CHEMBL311129
		CHEMBL57323
		CHEMBL160935
		CHEMBL350882
		CHEMBL1242208
		CHEMBL1242658
		CHEMBL373101
		CHEMBL4541330
		CHEMBL1766529
		CHEMBL485246
		CHEMBL299763
		CHEMBL112422
		CHEMBL1241862
		CHEMBL5277101
		CHEMBL1242662
		CHEMBL5271284
